token_id,extracted_attributes
2871,"{""Fur"": ""White Noise"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Wide"", ""Head Accessory"": ""Gold Stud"", ""Head"": ""Blue Pigtails""}"
3064,"{""Fur"": ""Red"", ""Clothes"": ""Shaolin Vest"", ""Mouth"": ""Referee"", ""Eyes"": ""Angry Wink"", ""Head"": ""Winter Hat""}"
4797,"{""Fur"": ""Red"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Ooh"", ""Eyes"": ""Closed""}"
9150,"{""Fur"": ""Green"", ""Clothes"": ""Fusion Gi"", ""Mouth"": ""Kiss"", ""Eyes"": ""Angry"", ""Head"": ""Purple Bandana""}"
7310,"{""Fur"": ""Black"", ""Mouth"": ""Kiss"", ""Eyes"": ""Angry"", ""Head"": ""RKL Cap Sideways""}"
8200,"{""Fur"": ""White Noise"", ""Clothes"": ""Tracksuit"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Angry Scar"", ""Head Accessory"": ""Vibe Glasses""}"
7938,"{""Fur"": ""White Noise"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Referee"", ""Eyes"": ""Sad"", ""Head Accessory"": ""Blue Shades""}"
101,"{""Fur"": ""Grey"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Scar"", ""Head Accessory"": ""Gem Earring""}"
9954,"{""Fur"": ""Green"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Wide"", ""Head"": ""Chopsticks Bun""}"
8138,"{""Fur"": ""Pink"", ""Mouth"": ""Gold Saber Toothed"", ""Eyes"": ""Regular""}"
9256,"{""Fur"": ""White Noise"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry"", ""Head"": ""Russian Cap""}"
5915,"{""Fur"": ""Black"", ""Mouth"": ""Full Beard"", ""Eyes"": ""Wide Scar"", ""Head Accessory"": ""3D Glasses""}"
6015,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Wide""}"
3614,"{""Fur"": ""Brown"", ""Clothes"": ""Shaolin Vest"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Sad""}"
8063,"{""Fur"": ""Green"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Angry""}"
1780,"{""Fur"": ""Green"", ""Clothes"": ""Green Kimono"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Regular"", ""Head"": ""Russian Cap""}"
5006,"{""Fur"": ""Brown"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Wide""}"
9281,"{""Fur"": ""Pink"", ""Clothes"": ""Biker Jacket"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Angry Scar"", ""Head"": ""Red Bandana""}"
9500,"{""Fur"": ""Grey"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Kiss"", ""Eyes"": ""Angry Wink""}"
4129,"{""Fur"": ""Grey"", ""Clothes"": ""Dress"", ""Mouth"": ""Full Beard"", ""Eyes"": ""Regular"", ""Head Accessory"": ""Red Shades"", ""Head"": ""Blonde Bun""}"
8699,"{""Fur"": ""Brown"", ""Mouth"": ""Gold Smirk"", ""Eyes"": ""Wide Scar"", ""Head"": ""RKL Cap Sideways""}"
853,"{""Fur"": ""Grey"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Wink"", ""Head"": ""Purple Bandana""}"
2185,"{""Fur"": ""Brown"", ""Clothes"": ""Biker Jacket"", ""Mouth"": ""Gold Scream"", ""Eyes"": ""Wide"", ""Head Accessory"": ""Gem Earring"", ""Head"": ""Winter Hat""}"
3321,"{""Fur"": ""Pink"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Scream"", ""Eyes"": ""Regular"", ""Head"": ""RKL Cap Sideways""}"
7331,"{""Fur"": ""Grey"", ""Clothes"": ""Dego Tee Blooded"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Regular"", ""Head Accessory"": ""Monocle""}"
5746,"{""Fur"": ""Grey"", ""Clothes"": ""Cheetah Dego Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Sad"", ""Head"": ""Purple Bandana""}"
4739,"{""Fur"": ""Black"", ""Mouth"": ""Gold Saber Toothed"", ""Eyes"": ""Regular"", ""Head"": ""RKL Cap Sideways""}"
4702,"{""Fur"": ""Grey"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Wide"", ""Head Accessory"": ""Red Shades""}"
9920,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Dress"", ""Mouth"": ""Drool"", ""Eyes"": ""Wide Scar"", ""Head"": ""Red Bandana""}"
1097,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Scream"", ""Eyes"": ""Angry Scar"", ""Head Accessory"": ""Gold Stud"", ""Head"": ""RKL Cap Sideways""}"
3539,"{""Fur"": ""Black"", ""Mouth"": ""Gold Smirk"", ""Eyes"": ""Wide"", ""Head"": ""Beanie""}"
2810,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Shaolin Vest"", ""Mouth"": ""Regular"", ""Eyes"": ""Closed""}"
1039,"{""Fur"": ""Red"", ""Mouth"": ""Regular"", ""Eyes"": ""Bloodshot"", ""Head"": ""Blue Pigtails""}"
5178,"{""Fur"": ""Green"", ""Clothes"": ""Cyan Jersey"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Closed Scar"", ""Head"": ""Bowler""}"
8366,"{""Fur"": ""White Noise"", ""Clothes"": ""Shaolin Vest"", ""Mouth"": ""Ooh"", ""Eyes"": ""Sad"", ""Head Accessory"": ""Red Shades"", ""Head"": ""King Band""}"
4462,"{""Fur"": ""Green"", ""Clothes"": ""Yellow Suit"", ""Mouth"": ""Regular"", ""Eyes"": ""Regular"", ""Head"": ""Blue Pigtails""}"
1162,"{""Fur"": ""Grey"", ""Clothes"": ""Red Kimono"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Angry Wink"", ""Head"": ""King Band""}"
2724,"{""Fur"": ""Pink"", ""Mouth"": ""Gold Saber Toothed"", ""Eyes"": ""Wide Scar""}"
1409,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Biker Jacket"", ""Mouth"": ""Regular"", ""Eyes"": ""Regular"", ""Head Accessory"": ""Red Shades"", ""Head"": ""Bowler""}"
3706,"{""Fur"": ""Brown"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry"", ""Head"": ""Winter Hat""}"
2868,"{""Fur"": ""Black"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Wink"", ""Head Accessory"": ""3D Glasses"", ""Head"": ""Blue Pigtails""}"
4555,"{""Fur"": ""Pink"", ""Clothes"": ""Cyan Jersey"", ""Mouth"": ""Gold Smirk"", ""Eyes"": ""Angry"", ""Head Accessory"": ""3D Glasses""}"
1920,"{""Fur"": ""Black"", ""Clothes"": ""White Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Scar"", ""Head Accessory"": ""Gem Earring"", ""Head"": ""Cap Forward""}"
5650,"{""Fur"": ""Grey"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Kiss"", ""Eyes"": ""Bloodshot"", ""Head Accessory"": ""Blue Shades"", ""Head"": ""Blonde Bun""}"
3600,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Scar"", ""Head Accessory"": ""Broken Glasses"", ""Head"": ""Russian Cap""}"
4350,"{""Fur"": ""Grey"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Kiss"", ""Eyes"": ""Wide"", ""Head Accessory"": ""Monocle"", ""Head"": ""Winter Hat""}"
6690,"{""Fur"": ""Grey"", ""Clothes"": ""Shirt And Tie"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Wide"", ""Head"": ""King Band""}"
3753,"{""Fur"": ""Sky Blue"", ""Clothes"": ""White Tee"", ""Mouth"": ""Tongue Out"", ""Eyes"": ""Bloodshot"", ""Head"": ""Blonde Bun""}"
9876,"{""Fur"": ""Pink"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Saber Toothed"", ""Eyes"": ""Sad""}"
5144,"{""Fur"": ""Pink"", ""Clothes"": ""Striped Tee"", ""Mouth"": ""Drool"", ""Eyes"": ""Angry""}"
5718,"{""Fur"": ""Brown"", ""Clothes"": ""Dress"", ""Mouth"": ""Full Beard"", ""Eyes"": ""Wide""}"
4454,"{""Fur"": ""Black"", ""Clothes"": ""Biker Jacket"", ""Mouth"": ""Kiss"", ""Eyes"": ""Closed"", ""Head"": ""Chopsticks Bun""}"
9344,"{""Fur"": ""Black"", ""Clothes"": ""Tracksuit"", ""Mouth"": ""Gold Scream"", ""Eyes"": ""Closed Scar"", ""Head"": ""Ski Glasses""}"
910,"{""Fur"": ""Red"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Closed Scar"", ""Head Accessory"": ""Vibe Glasses"", ""Head"": ""RKL Cap Forward""}"
5324,"{""Fur"": ""Pink"", ""Clothes"": ""Shaolin Vest"", ""Mouth"": ""Scream"", ""Eyes"": ""Angry Wink"", ""Head"": ""Bowler""}"
6840,"{""Fur"": ""Green"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Regular"", ""Eyes"": ""Angry Wink""}"
5433,"{""Fur"": ""Black"", ""Clothes"": ""Hawaii Shirt"", ""Mouth"": ""Kiss"", ""Eyes"": ""Angry Wink""}"
6647,"{""Fur"": ""Sky Blue"", ""Clothes"": ""Cheetah Dego Tee"", ""Mouth"": ""Shows Teeth"", ""Eyes"": ""Regular"", ""Head Accessory"": ""Broken Glasses"", ""Head"": ""Purple Bandana""}"
5808,"{""Fur"": ""Red"", ""Clothes"": ""Trippy Tee"", ""Mouth"": ""Kiss"", ""Eyes"": ""Wide"", ""Head"": ""Blue Pigtails""}"
